Iteration,TransferIn_ms,Inference_ms,TransferOut_ms,Total_ms
420,0.099371,3.599780,0.089672,3.788823
421,0.088630,3.532120,0.091676,3.712426
422,0.092077,3.792330,0.098369,3.982776
423,0.099562,3.600932,0.089192,3.789686
424,0.088300,6.353975,0.091115,6.533390
425,0.105463,3.702427,0.090384,3.898274
426,0.089081,3.623836,0.091286,3.804203
427,0.092117,5.510291,0.136003,5.738411
428,0.094221,4.074503,0.091295,4.260019
429,0.233286,3.829624,0.101615,4.164525
430,0.091636,3.593237,0.122714,3.807587
431,0.112177,3.573189,0.091446,3.776812
432,0.090825,3.543642,0.092047,3.726514
433,0.091085,3.699713,0.089993,3.880791
434,0.088390,3.567378,0.093379,3.749147
435,0.182932,3.724380,0.090033,3.997345
436,0.085875,3.624478,0.088730,3.799083
437,0.088600,3.549072,0.091857,3.729529
438,0.091165,3.779996,0.107968,3.979129
439,0.089833,4.248848,0.129739,4.468420
440,0.125431,3.543442,0.089202,3.758075
441,0.088731,3.611332,0.088801,3.788864
442,0.088510,3.750049,0.803925,4.642484
443,0.106114,3.689112,0.097928,3.893154
444,0.091556,3.635859,0.089833,3.817248
445,0.088300,3.667249,0.089362,3.844911
446,0.086045,3.778352,0.120712,3.985109
447,0.099160,3.613899,0.102006,3.815065
448,0.088460,3.547830,0.093961,3.730251
449,0.096396,3.550786,0.087067,3.734249
450,0.088941,4.475191,0.155519,4.719651
451,0.129228,4.275321,0.093580,4.498129
452,0.088490,3.641601,0.088871,3.818962
453,0.088730,3.590583,0.088360,3.767673
454,0.088229,3.866453,0.117135,4.071817
455,0.089001,3.580643,0.092027,3.761671
456,0.091426,3.575053,0.089973,3.756452
457,0.088781,3.567017,0.088530,3.744328
458,0.088370,3.851713,0.131915,4.071998
459,0.093750,3.781650,0.097878,3.973278
460,0.089011,3.666608,0.091807,3.847426
461,0.091216,3.547689,0.088921,3.727826
462,0.088250,4.796879,0.136795,5.021924
463,0.090353,3.809133,0.088209,3.987695
464,0.088981,3.560665,0.088861,3.738507
465,0.088450,3.595693,0.089051,3.773194
466,0.091857,4.232115,0.089673,4.413645
467,0.098639,3.818791,0.091326,4.008756
468,0.089352,3.629888,0.090184,3.809424
469,0.089192,3.514045,0.088670,3.691907
470,0.089362,3.917952,0.114570,4.121884
471,0.091726,3.759918,0.108659,3.960303
472,0.088861,3.565865,0.089051,3.743777
473,0.088510,3.570193,0.088911,3.747614
474,0.089311,4.117456,0.091045,4.297812
475,0.095453,3.788814,0.090794,3.975061
476,0.107977,3.676767,0.119711,3.904455
477,0.093530,3.539975,0.089482,3.722987
