Iteration,Transfer_ms,Inference_ms,Total_ms
713,0.000050,3.310503,3.310553
714,0.000050,3.448960,3.449010
715,0.000070,3.310084,3.310154
716,0.000060,3.300224,3.300284
717,0.000060,5.093150,5.093210
718,0.000050,3.584891,3.584941
719,0.000060,3.399435,3.399495
720,0.000060,3.313059,3.313119
721,0.000050,4.967230,4.967280
722,0.000070,3.395678,3.395748
723,0.000061,3.351242,3.351303
724,0.000060,3.307368,3.307428
725,0.000060,3.824041,3.824101
726,0.000060,3.371852,3.371912
727,0.000050,3.348296,3.348346
728,0.000210,3.431396,3.431606
729,0.000050,3.450914,3.450964
730,0.000050,3.426657,3.426707
731,0.000061,3.305163,3.305224
732,0.000050,3.362814,3.362864
733,0.000060,3.368906,3.368966
734,0.000060,5.146203,5.146263
735,0.000060,3.386260,3.386320
736,0.000060,3.375299,3.375359
737,0.000070,3.590462,3.590532
738,0.000060,3.403633,3.403693
739,0.000210,3.341183,3.341393
740,0.000060,3.288592,3.288652
741,0.000060,3.379637,3.379697
742,0.000070,3.598778,3.598848
743,0.000060,3.449792,3.449852
744,0.000140,3.321716,3.321856
745,0.000050,3.327827,3.327877
746,0.000060,3.420956,3.421016
747,0.000060,3.554132,3.554192
748,0.000240,3.375309,3.375549
749,0.000061,3.327677,3.327738
750,0.000050,3.286938,3.286988
751,0.000060,3.469950,3.470010
752,0.000070,3.733577,3.733647
753,0.000220,3.324481,3.324701
754,0.000060,3.330944,3.331004
755,0.000061,3.306756,3.306817
756,0.000060,3.573700,3.573760
757,0.000221,4.095754,4.095975
758,0.000070,3.346042,3.346112
759,0.000060,3.413492,3.413552
760,0.000061,3.493065,3.493126
761,0.000060,4.201336,4.201396
762,0.000060,3.360790,3.360850
763,0.000050,3.283282,3.283332
764,0.000050,3.349769,3.349819
765,0.000060,3.801429,3.801489
766,0.000201,3.328529,3.328730
767,0.000060,3.354990,3.355050
768,0.000050,3.351884,3.351934
769,0.000060,3.434162,3.434222
770,0.000061,4.472747,4.472808
771,0.000201,3.358285,3.358486
772,0.000060,3.307789,3.307849
773,0.000050,3.394376,3.394426
774,0.000050,3.705553,3.705603
775,0.000061,3.384596,3.384657
776,0.000060,3.351213,3.351273
777,0.000060,3.328358,3.328418
778,0.000050,3.424423,3.424473
779,0.000071,3.718378,3.718449
780,0.000200,3.878356,3.878556
781,0.000251,3.692598,3.692849
782,0.000060,3.371181,3.371241
783,0.000060,3.347234,3.347294
784,0.000050,3.480250,3.480300
785,0.000060,3.384136,3.384196
786,0.000050,3.354719,3.354769
787,0.000060,3.762693,3.762753
788,0.000150,3.672890,3.673040
789,0.000050,3.769507,3.769557
790,0.000151,7.948529,7.948680
791,0.000080,3.587156,3.587236
792,0.000050,3.461975,3.462025
793,0.000060,3.430895,3.430955
794,0.000061,3.310714,3.310775
795,0.000060,3.424704,3.424764
796,0.000140,3.384567,3.384707
797,0.000060,3.584320,3.584380
798,0.000060,3.305915,3.305975
799,0.000141,3.297178,3.297319
800,0.000050,3.372724,3.372774
801,0.000130,3.313660,3.313790
802,0.000191,3.576465,3.576656
803,0.000050,3.355320,3.355370
804,0.000050,3.343317,3.343367
805,0.000141,3.288842,3.288983
806,0.000060,3.370019,3.370079
807,0.000061,3.534073,3.534134
808,0.000060,3.295876,3.295936
809,0.000060,5.073282,5.073342
810,0.000151,3.323519,3.323670
811,0.000060,3.401018,3.401078
812,0.000050,3.393283,3.393333
813,0.000061,4.352857,4.352918
814,0.000141,3.356392,3.356533
