time,valid_in,ready_in,valid_out,ready_out
825975000,0,0,0,1
825985000,0,0,0,1
825995000,0,0,0,1
826005000,0,0,0,1
826015000,0,0,0,1
826025000,0,0,0,1
826035000,0,0,0,1
826045000,0,0,0,1
826055000,0,0,0,1
826065000,0,0,0,1
826075000,0,0,0,1
826085000,0,0,0,1
826095000,0,0,0,1
826105000,0,0,0,1
826115000,0,0,0,1
826125000,0,0,0,1
826135000,0,0,0,1
826145000,0,0,0,1
826155000,0,0,0,1
826165000,0,0,0,1
826175000,0,0,0,1
826185000,0,0,0,1
826195000,0,0,0,1
826205000,0,0,0,1
826215000,0,0,0,1
826225000,0,0,0,1
826235000,0,0,0,1
826245000,0,0,0,1
826255000,0,0,0,1
826265000,0,0,0,1
826275000,0,0,0,1
826285000,0,0,0,1
826295000,0,0,0,1
826305000,0,0,0,1
826315000,0,0,0,1
826325000,0,0,0,1
826335000,0,0,0,1
826345000,0,0,0,1
826355000,0,0,0,1
826365000,0,0,0,1
826375000,0,0,0,1
826385000,0,0,0,1
826395000,0,0,0,1
826405000,0,0,0,1
826415000,0,0,0,1
826425000,0,0,0,1
826435000,0,0,0,1
826445000,0,0,0,1
826455000,0,0,0,1
826465000,0,0,0,1
826475000,0,0,0,1
826485000,0,0,0,1
826495000,0,0,0,1
826505000,0,0,0,1
826515000,0,0,0,1
826525000,0,0,0,1
826535000,0,0,0,1
826545000,0,0,0,1
826555000,0,0,0,1
826565000,0,0,0,1
826575000,0,0,0,1
826585000,0,0,0,1
826595000,0,0,0,1
826605000,0,0,0,1
826615000,0,0,0,1
826625000,0,0,0,1
826635000,0,0,0,1
826645000,0,0,0,1
826655000,0,0,0,1
826665000,0,0,0,1
826675000,0,0,0,1
826685000,0,0,0,1
826695000,0,0,0,1
826705000,0,0,0,1
826715000,0,0,0,1
826725000,0,0,0,1
826735000,0,0,0,1
826745000,0,0,0,1
826755000,0,0,0,1
826765000,0,0,0,1
826775000,0,0,0,1
826785000,0,0,0,1
826795000,0,0,0,1
826805000,0,0,0,1
826815000,0,0,0,1
826825000,0,0,0,1
826835000,0,0,0,1
826845000,0,0,0,1
826855000,0,0,0,1
826865000,0,0,0,1
826875000,0,0,0,1
826885000,0,0,0,1
826895000,0,0,0,1
826905000,0,0,0,1
826915000,0,0,0,1
826925000,0,0,0,1
826935000,0,0,0,1
826945000,0,0,0,1
826955000,0,0,0,1
826965000,0,0,0,1
826975000,0,0,0,1
826985000,0,0,0,1
826995000,0,0,0,1
